,name,identifier,url,image,sameAs,datePublished,dateModified,eventStatus,startDate,endDate,previousStartDate,doorTime,location$@type,location$name,location$identifier,location$url,location$image,location$datePublished,location$dateModified,location$address$@type,location$address$streetAddress,location$address$addressLocality,location$address$postalCode,location$address$addressRegion$@type,location$address$addressRegion$identifier,location$address$addressRegion$name,location$address$addressRegion$alternateName,location$address$addressCountry$@type,location$address$addressCountry$identifier,location$address$addressCountry$name,location$address$addressCountry$alternateName,location$address$x-streetAddress2,location$address$x-timezone,location$address$x-jamBaseMetroId,location$address$x-jamBaseCityId,location$geo$@type,location$geo$latitude,location$geo$longitude,location$sameAs,location$maximumAttendeeCapacity,location$x-isPermanentlyClosed,location$x-numUpcomingEvents,offers,performer,eventAttendanceMode,isAccessibleForFree,x-streamIds,x-headlinerInSupport,x-promoImage,
@type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Concert,Bad Bunny at Estadio River Plate,jambase:14305246,https://www.jambase.com/show/bad-bunny-estadio-river-plate-20260214,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-18T16:51:09Z,2025-08-11T13:05:58Z,scheduled,2026-02-14T21:00:00,2/14/26,,,Venue,Estadio River Plate,jambase:428238,https://www.jambase.com/venue/river-plate-stadium,,2015-09-03T03:19:36Z,2025-11-03T15:45:43Z,PostalAddress,7597 Avenida Presidente Figueroa Alcorta,Buenos Aires,C1424,NA,NA,NA,NA,Country,AR,Argentina,ARG,,America/Argentina/Buenos_Aires,,150433,GeoCoordinates,-34.5455,-58.4497,<data.frame[1 x 3]>,61321,FALSE,10,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Concert,Bad Bunny at Estadio River Plate,jambase:14305249,https://www.jambase.com/show/bad-bunny-estadio-river-plate-20260215,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-18T16:51:13Z,2025-08-11T13:06:10Z,scheduled,2026-02-15T21:00:00,2/15/26,,,Venue,Estadio River Plate,jambase:428238,https://www.jambase.com/venue/river-plate-stadium,,2015-09-03T03:19:36Z,2025-11-03T15:45:43Z,PostalAddress,7597 Avenida Presidente Figueroa Alcorta,Buenos Aires,C1424,NA,NA,NA,NA,Country,AR,Argentina,ARG,,America/Argentina/Buenos_Aires,,150433,GeoCoordinates,-34.5455,-58.4497,<data.frame[1 x 3]>,61321,FALSE,10,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Concert,Bad Bunny at Allianz Parque,jambase:14247354,https://www.jambase.com/show/bad-bunny-allianz-parque-20260220,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-06T19:51:59Z,2025-06-26T23:01:16Z,scheduled,2026-02-20T21:00:00,2/20/26,,,Venue,Allianz Parque,jambase:669859,https://www.jambase.com/venue/allianz-parque,,2015-10-06T09:37:49Z,2025-11-03T14:17:12Z,PostalAddress,200 Rua Palestra Itália,São Paulo,05001-200,NA,NA,NA,NA,Country,BR,Brazil,BRA,,America/Sao_Paulo,,301671,GeoCoordinates,-23.5283,-46.6796,<data.frame[1 x 3]>,43710,FALSE,11,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Concert,Bad Bunny at Allianz Parque,jambase:14283928,https://www.jambase.com/show/bad-bunny-allianz-parque-20260221,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-14T14:29:35Z,2025-06-26T23:01:16Z,scheduled,2026-02-21T21:00:00,2/21/26,,,Venue,Allianz Parque,jambase:669859,https://www.jambase.com/venue/allianz-parque,,2015-10-06T09:37:49Z,2025-11-03T14:17:12Z,PostalAddress,200 Rua Palestra Itália,São Paulo,05001-200,NA,NA,NA,NA,Country,BR,Brazil,BRA,,America/Sao_Paulo,,301671,GeoCoordinates,-23.5283,-46.6796,<data.frame[1 x 3]>,43710,FALSE,11,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Concert,Bad Bunny at Engie Stadium,jambase:14236542,https://www.jambase.com/show/bad-bunny-giants-stadium-20260228,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-05T19:21:24Z,2025-10-29T20:04:53Z,scheduled,2026-02-28T17:00:00,2/28/26,,,Venue,Engie Stadium,jambase:5843971,https://www.jambase.com/venue/engie-stadium,,2019-08-09T15:07:06Z,2025-10-19T15:17:11Z,PostalAddress, Grand Parade,Sydney Olympic Park,2127,State,AU-NSW,New South Wales,NSW,Country,AU,Australia,AUS,,Australia/Sydney,,4248970,GeoCoordinates,-33.8431,151.0677,<data.frame[1 x 3]>,,FALSE,2,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Concert,Bad Bunny at Engie Stadium,jambase:14255542,https://www.jambase.com/show/bad-bunny-giants-stadium-20260301,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-08T14:06:05Z,2025-10-29T20:02:12Z,scheduled,2026-03-01T17:00:00,3/1/26,,,Venue,Engie Stadium,jambase:5843971,https://www.jambase.com/venue/engie-stadium,,2019-08-09T15:07:06Z,2025-10-19T15:17:11Z,PostalAddress, Grand Parade,Sydney Olympic Park,2127,State,AU-NSW,New South Wales,NSW,Country,AU,Australia,AUS,,Australia/Sydney,,4248970,GeoCoordinates,-33.8431,151.0677,<data.frame[1 x 3]>,,FALSE,2,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Concert,Bad Bunny at Estadi Olímpico Lluis Companys,jambase:14237025,https://www.jambase.com/show/bad-bunny-estadi-olimpico-lluis-companys-20260522,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-05T20:56:05Z,2025-06-26T23:03:59Z,scheduled,2026-05-22T20:00:00,5/22/26,,,Venue,Estadi Olímpico Lluis Companys,jambase:6114084,https://www.jambase.com/venue/estadi-olimpico-lluis-companys,,2019-11-11T17:55:45Z,2025-10-09T17:17:16Z,PostalAddress,"Passeig Olímpic, 15-17",Barcelona,8038,NA,NA,NA,NA,Country,ES,Spain,ESP,,Europe/Madrid,,4173642,GeoCoordinates,41.3647,2.1535,<data.frame[1 x 3]>,60713,FALSE,6,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Concert,Bad Bunny at Estadi Olímpico Lluis Companys,jambase:14237031,https://www.jambase.com/show/bad-bunny-estadi-olimpico-lluis-companys-20260522-2,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-05T20:56:08Z,2025-06-26T23:03:59Z,scheduled,2026-05-22T20:00:00,5/22/26,,,Venue,Estadi Olímpico Lluis Companys,jambase:6114084,https://www.jambase.com/venue/estadi-olimpico-lluis-companys,,2019-11-11T17:55:45Z,2025-10-09T17:17:16Z,PostalAddress,"Passeig Olímpic, 15-17",Barcelona,8038,NA,NA,NA,NA,Country,ES,Spain,ESP,,Europe/Madrid,,4173642,GeoCoordinates,41.3647,2.1535,<data.frame[1 x 3]>,60713,FALSE,6,<data.frame[1 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Concert,Bad Bunny at Estadi Olímpico Lluis Companys,jambase:14255551,https://www.jambase.com/show/bad-bunny-estadi-olimpico-lluis-companys-20260523,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-08T14:06:08Z,2025-06-26T23:03:59Z,scheduled,2026-05-23T20:00:00,5/23/26,,,Venue,Estadi Olímpico Lluis Companys,jambase:6114084,https://www.jambase.com/venue/estadi-olimpico-lluis-companys,,2019-11-11T17:55:45Z,2025-10-09T17:17:16Z,PostalAddress,"Passeig Olímpic, 15-17",Barcelona,8038,NA,NA,NA,NA,Country,ES,Spain,ESP,,Europe/Madrid,,4173642,GeoCoordinates,41.3647,2.1535,<data.frame[1 x 3]>,60713,FALSE,6,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Concert,Bad Bunny at Estádio da Luz,jambase:14247358,https://www.jambase.com/show/bad-bunny-est%c3%a1dio-da-luz-20260526,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-06T19:53:53Z,2025-06-26T23:01:41Z,scheduled,2026-05-26T20:00:00,5/26/26,,,Venue,Estádio da Luz,jambase:9437567,https://www.jambase.com/venue/estadio-da-luz-lisbon-pt,,2022-11-07T16:42:18Z,2025-09-22T16:17:13Z,PostalAddress, Avenida Eusébio da Silva Ferreira,Lisboa,1500-313,NA,NA,NA,NA,Country,PT,Portugal,PRT,,Europe/Lisbon,,,GeoCoordinates,38.7527,-9.1847,<data.frame[1 x 3]>,64642,FALSE,3,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Concert,Bad Bunny at Estádio da Luz,jambase:14258576,https://www.jambase.com/show/bad-bunny-est%c3%a1dio-da-luz-20260527,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-08T17:05:08Z,2025-06-26T23:01:41Z,scheduled,2026-05-27T20:00:00,5/27/26,,,Venue,Estádio da Luz,jambase:9437567,https://www.jambase.com/venue/estadio-da-luz-lisbon-pt,,2022-11-07T16:42:18Z,2025-09-22T16:17:13Z,PostalAddress, Avenida Eusébio da Silva Ferreira,Lisboa,1500-313,NA,NA,NA,NA,Country,PT,Portugal,PRT,,Europe/Lisbon,,,GeoCoordinates,38.7527,-9.1847,<data.frame[1 x 3]>,64642,FALSE,3,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Concert,Bad Bunny at Riyadh Air Metropolitano,jambase:14237028,https://www.jambase.com/show/bad-bunny-metropolitano-stadium-20260530,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-05T20:56:07Z,2025-09-05T22:45:14Z,scheduled,2026-05-30T20:00:00,5/30/26,,,Venue,Riyadh Air Metropolitano,jambase:4703126,https://www.jambase.com/venue/riyadh-air-metropolitano-madrid-es,,2018-09-10T21:59:19Z,2025-10-09T15:17:12Z,PostalAddress,4 Avenida de Luis Aragonés,Madrid,28022,NA,NA,NA,NA,Country,ES,Spain,ESP,,Europe/Madrid,,4195345,GeoCoordinates,40.4362,-3.5995,<data.frame[0 x 0]>,68000,FALSE,16,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Concert,Bad Bunny at Riyadh Air Metropolitano,jambase:14237034,https://www.jambase.com/show/bad-bunny-metropolitano-stadium-20260531,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-05T20:56:09Z,2025-09-05T22:45:14Z,scheduled,2026-05-31T20:00:00,5/31/26,,,Venue,Riyadh Air Metropolitano,jambase:4703126,https://www.jambase.com/venue/riyadh-air-metropolitano-madrid-es,,2018-09-10T21:59:19Z,2025-10-09T15:17:12Z,PostalAddress,4 Avenida de Luis Aragonés,Madrid,28022,NA,NA,NA,NA,Country,ES,Spain,ESP,,Europe/Madrid,,4195345,GeoCoordinates,40.4362,-3.5995,<data.frame[0 x 0]>,68000,FALSE,16,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Concert,Bad Bunny at Riyadh Air Metropolitano,jambase:14255548,https://www.jambase.com/show/bad-bunny-metropolitano-stadium-20260602,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-08T14:06:07Z,2025-09-05T22:45:25Z,scheduled,2026-06-02T20:00:00,6/2/26,,,Venue,Riyadh Air Metropolitano,jambase:4703126,https://www.jambase.com/venue/riyadh-air-metropolitano-madrid-es,,2018-09-10T21:59:19Z,2025-10-09T15:17:12Z,PostalAddress,4 Avenida de Luis Aragonés,Madrid,28022,NA,NA,NA,NA,Country,ES,Spain,ESP,,Europe/Madrid,,4195345,GeoCoordinates,40.4362,-3.5995,<data.frame[0 x 0]>,68000,FALSE,16,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Concert,Bad Bunny at Riyadh Air Metropolitano,jambase:14255554,https://www.jambase.com/show/bad-bunny-metropolitano-stadium-20260603,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-08T14:06:09Z,2025-09-05T22:45:25Z,scheduled,2026-06-03T20:00:00,6/3/26,,,Venue,Riyadh Air Metropolitano,jambase:4703126,https://www.jambase.com/venue/riyadh-air-metropolitano-madrid-es,,2018-09-10T21:59:19Z,2025-10-09T15:17:12Z,PostalAddress,4 Avenida de Luis Aragonés,Madrid,28022,NA,NA,NA,NA,Country,ES,Spain,ESP,,Europe/Madrid,,4195345,GeoCoordinates,40.4362,-3.5995,<data.frame[0 x 0]>,68000,FALSE,16,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Concert,Bad Bunny at Riyadh Air Metropolitano,jambase:14258726,https://www.jambase.com/show/bad-bunny-metropolitano-stadium-20260606,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-08T17:08:58Z,2025-09-05T22:45:25Z,scheduled,2026-06-06T20:00:00,6/6/26,,,Venue,Riyadh Air Metropolitano,jambase:4703126,https://www.jambase.com/venue/riyadh-air-metropolitano-madrid-es,,2018-09-10T21:59:19Z,2025-10-09T15:17:12Z,PostalAddress,4 Avenida de Luis Aragonés,Madrid,28022,NA,NA,NA,NA,Country,ES,Spain,ESP,,Europe/Madrid,,4195345,GeoCoordinates,40.4362,-3.5995,<data.frame[0 x 0]>,68000,FALSE,16,<data.frame[4 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Concert,Bad Bunny at Riyadh Air Metropolitano,jambase:14258846,https://www.jambase.com/show/bad-bunny-metropolitano-stadium-20260607,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-08T17:09:35Z,2025-09-05T22:45:25Z,scheduled,2026-06-07T20:00:00,6/7/26,,,Venue,Riyadh Air Metropolitano,jambase:4703126,https://www.jambase.com/venue/riyadh-air-metropolitano-madrid-es,,2018-09-10T21:59:19Z,2025-10-09T15:17:12Z,PostalAddress,4 Avenida de Luis Aragonés,Madrid,28022,NA,NA,NA,NA,Country,ES,Spain,ESP,,Europe/Madrid,,4195345,GeoCoordinates,40.4362,-3.5995,<data.frame[0 x 0]>,68000,FALSE,16,<data.frame[4 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Concert,Bad Bunny at Riyadh Air Metropolitano,jambase:14261461,https://www.jambase.com/show/bad-bunny-metropolitano-stadium-20260610,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-09T13:48:56Z,2025-09-05T22:45:25Z,scheduled,2026-06-10T20:00:00,6/10/26,,,Venue,Riyadh Air Metropolitano,jambase:4703126,https://www.jambase.com/venue/riyadh-air-metropolitano-madrid-es,,2018-09-10T21:59:19Z,2025-10-09T15:17:12Z,PostalAddress,4 Avenida de Luis Aragonés,Madrid,28022,NA,NA,NA,NA,Country,ES,Spain,ESP,,Europe/Madrid,,4195345,GeoCoordinates,40.4362,-3.5995,<data.frame[0 x 0]>,68000,FALSE,16,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Concert,Bad Bunny at Riyadh Air Metropolitano,jambase:14261464,https://www.jambase.com/show/bad-bunny-metropolitano-stadium-20260611,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-09T13:48:57Z,2025-09-05T22:45:25Z,scheduled,2026-06-11T20:00:00,6/11/26,,,Venue,Riyadh Air Metropolitano,jambase:4703126,https://www.jambase.com/venue/riyadh-air-metropolitano-madrid-es,,2018-09-10T21:59:19Z,2025-10-09T15:17:12Z,PostalAddress,4 Avenida de Luis Aragonés,Madrid,28022,NA,NA,NA,NA,Country,ES,Spain,ESP,,Europe/Madrid,,4195345,GeoCoordinates,40.4362,-3.5995,<data.frame[0 x 0]>,68000,FALSE,16,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
